Date,S&P500,AAL,ALGT,ALk,DAL,HA,LUV,BCS,CS,DB,GS,MS,WFC,BHC,JNJ,MRK,PFE,RHHBY,UNH,AAPL,AMZN,GOOG,IBM,MSFT,FB
2010-10-01,1146.23999,9.29,43.23,12.4475,12.01,5.96,12.94,17.603687,42.226563,52.595421,147.699997,25.02,25.559999,25.75,61.75,36.599998,17.18,17.389999,35.43,10.09,153.710007,261.828613,135.639999,24.379999,0.0
2010-10-04,1137.030029,9.12,41.59,12.1425,11.51,5.75,12.82,17.502304,41.914063,51.755726,146.570007,24.709999,25.379999,25.870001,61.669998,36.52,16.9,17.275,34.540001,9.951428,155.389999,260.199707,135.25,23.91,0.0
2010-10-05,1160.75,9.23,42.099998,12.215,11.83,5.85,13.02,18.156683,43.154297,53.950382,149.570007,25.469999,26.25,26.299999,62.799999,37.02,17.23,17.799999,35.07,10.319285,160.869995,268.110046,137.660004,24.35,0.0
2010-10-06,1159.969971,9.23,41.950001,12.1875,11.78,5.97,12.94,17.9447,43.4375,54.60878,150.839996,25.379999,26.299999,26.690001,63.209999,37.009998,17.26,17.975,33.950001,10.328215,155.399994,266.177307,137.839996,24.43,0.0
2010-10-07,1158.060059,9.24,41.700001,11.625,11.77,6.15,12.88,17.253456,43.671875,54.036259,151.110001,25.07,26.0,26.6,63.220001,36.709999,17.379999,17.93,34.34,10.329286,156.270004,264.015411,138.720001,24.530001,0.0
2010-10-08,1165.150024,9.07,39.779999,12.0475,11.4,6.15,13.04,17.456221,42.988281,53.874046,152.660004,25.32,25.950001,26.84,63.23,36.91,17.459999,18.125,34.349998,10.5025,155.550003,267.173553,138.850006,24.57,0.0
2010-10-11,1165.319946,9.0,39.040001,11.755,11.24,6.11,12.86,17.419355,43.349609,53.587788,152.199997,25.15,25.65,27.16,63.299999,36.860001,17.379999,18.0,34.650002,10.548572,153.029999,268.41391,139.660004,24.59,0.0
2010-10-12,1169.77002,9.55,39.400002,11.83,11.42,6.35,12.99,17.354839,43.486328,53.339695,155.210007,25.93,25.98,27.879999,63.290001,36.639999,17.48,17.775,35.02,10.662143,156.479996,269.684143,139.850006,24.83,0.0
2010-10-13,1178.099976,9.8,40.5,11.885,11.58,6.39,12.97,17.124424,43.945313,55.066795,154.729996,25.940001,25.809999,27.860001,63.580002,37.16,17.73,18.025,35.32,10.719286,155.169998,270.63559,140.369995,25.34,0.0
2010-10-14,1173.810059,9.78,40.810001,11.845,11.45,6.32,12.86,16.497696,43.554688,54.856869,151.589996,25.440001,24.719999,27.290001,63.740002,37.150002,17.66,18.184999,35.779999,10.796785,155.529999,269.455017,141.5,25.23,0.0
2010-10-15,1176.189941,9.7,41.23,11.7875,11.38,6.42,12.95,16.792627,42.8125,54.074429,150.690002,25.02,23.58,26.709999,63.57,36.950001,17.75,18.49,35.98,11.240714,164.639999,299.60202,141.059998,25.540001,0.0
2010-10-18,1184.709961,10.12,41.209999,11.8975,11.51,6.42,13.02,17.087557,44.023438,55.725189,153.699997,25.4,24.870001,26.59,63.860001,37.23,17.799999,18.76,36.25,11.357142,163.559998,307.70166,142.830002,25.82,0.0
2010-10-19,1165.900024,10.09,41.07,11.62,11.7,6.22,12.69,16.635944,43.408203,54.923664,156.720001,25.389999,24.549999,26.24,63.290001,36.52,17.389999,18.525,35.299999,11.053214,158.669998,302.780121,138.029999,25.1,0.0
2010-10-20,1178.170044,10.84,41.490002,12.3525,12.97,7.13,13.16,16.976959,43.964844,56.354961,159.600006,25.379999,25.6,26.559999,63.599998,36.990002,17.66,18.65,36.73,11.090357,158.669998,302.854828,139.070007,25.309999,0.0
