Date,Open,High,Low,Close,Adj Close,Volume
01-10-2010,6.02,6.05,5.88,5.96,5.742526,645400
04-10-2010,5.96,6,5.73,5.75,5.540189,618900
05-10-2010,5.82,5.93,5.77,5.85,5.636539,534800
06-10-2010,5.85,6.05,5.85,5.97,5.752162,2563900
07-10-2010,6.04,6.32,5.98,6.15,5.925593,1115200
08-10-2010,6.17,6.29,6.03,6.15,5.925593,913000
11-10-2010,6.12,6.18,6.02,6.11,5.887052,532200
12-10-2010,6.1,6.36,6.02,6.35,6.118296,1114000
13-10-2010,6.37,6.52,6.33,6.39,6.156836,689700
14-10-2010,6.41,6.54,6.19,6.32,6.089391,507100
15-10-2010,6.4,6.49,6.36,6.42,6.185742,569900
18-10-2010,6.41,6.54,6.38,6.42,6.185742,516200
19-10-2010,6.53,6.53,6.19,6.22,5.993039,723400
20-10-2010,6.54,7.19,6.52,7.13,6.869834,2148600
21-10-2010,7.16,7.4,7.02,7.16,6.89874,944800
22-10-2010,7.16,7.35,7.06,7.33,7.062536,648500
25-10-2010,7.35,7.48,7.34,7.48,7.207063,819900
26-10-2010,7.4,7.65,7.39,7.65,7.37086,672800
27-10-2010,7.62,7.64,7.38,7.51,7.235969,452000
28-10-2010,7.59,7.64,7.47,7.61,7.33232,550300
29-10-2010,7.55,7.62,7.28,7.32,7.052901,691600
01-11-2010,7.37,7.53,7.27,7.3,7.033632,511200
02-11-2010,7.4,7.48,7.3,7.36,7.091441,490100
03-11-2010,7.36,7.51,7.35,7.43,7.158887,534200
04-11-2010,7.5,7.55,7.24,7.29,7.023996,790800
05-11-2010,7.3,7.37,7.14,7.2,6.937279,667600
08-11-2010,7.27,7.37,7.21,7.33,7.062536,481700
09-11-2010,7.33,7.38,7.2,7.27,7.004725,552900
10-11-2010,7.34,7.34,6.95,7.07,6.812024,592700
11-11-2010,6.96,7.15,6.91,7.04,6.783118,440600
12-11-2010,6.97,7.08,6.92,7.01,6.754212,228100
15-11-2010,7.06,7.1,6.98,7,6.744577,262000
16-11-2010,6.93,6.99,6.61,6.7,6.455524,371000
17-11-2010,6.7,6.99,6.7,6.96,6.706037,503300
18-11-2010,7,7.19,6.99,7.12,6.860198,372900
19-11-2010,7.13,7.17,7.01,7.12,6.860198,252300
22-11-2010,7.1,7.15,6.8,6.98,6.725307,449000
23-11-2010,7.02,7.29,6.91,7.27,7.004725,720200
24-11-2010,7.3,7.88,7.28,7.88,7.592468,868500
26-11-2010,7.8,7.84,7.66,7.71,7.42867,191400
29-11-2010,7.7,7.91,7.6,7.87,7.582832,731300
30-11-2010,7.72,8.05,7.61,7.9,7.611738,1011500
01-12-2010,7.95,8.15,7.75,8.04,7.746629,777700
02-12-2010,8.02,8.11,7.98,8.1,7.80444,565100
03-12-2010,8.07,8.13,7.95,8.07,7.775534,296900
06-12-2010,8.03,8.32,7.96,8.3,7.997143,645100
07-12-2010,8.32,8.33,8.03,8.05,7.756264,568900
08-12-2010,8,8.06,7.73,7.94,7.650279,558600
09-12-2010,8.02,8.32,7.93,8.2,7.900791,672600
10-12-2010,8.24,8.25,8.05,8.2,7.900791,550100
13-12-2010,8.26,8.69,8.12,8.53,8.218748,1310600
14-12-2010,8.53,8.56,8.25,8.26,7.958601,586100
15-12-2010,8.22,8.29,7.94,8.11,7.814074,987700
16-12-2010,8.09,8.22,8,8.13,7.833345,499500
17-12-2010,8.12,8.17,8,8,7.708089,644100
20-12-2010,7.99,8.09,7.89,8.09,7.794804,469400
21-12-2010,8.09,8.21,8.01,8.18,7.88152,566000
22-12-2010,8.23,8.23,8,8.08,7.785169,531200
23-12-2010,8.09,8.16,8,8.01,7.717723,461400
27-12-2010,8.01,8.1,7.97,8.05,7.756264,373800
28-12-2010,8.03,8.09,7.97,7.97,7.679183,211000
29-12-2010,7.96,8.01,7.89,7.9,7.611738,334200
30-12-2010,7.9,7.98,7.82,7.95,7.659913,312500
31-12-2010,7.95,8,7.82,7.84,7.553926,332400
03-01-2011,7.86,8,7.86,7.92,7.631008,445300
04-01-2011,7.96,8.1,7.8,7.88,7.592468,289400
05-01-2011,7.9,8.1,7.88,8.03,7.736994,452400
06-01-2011,8,8.02,7.87,8.01,7.717723,502600
07-01-2011,8,8.04,7.94,8.01,7.717723,603200
10-01-2011,7.98,8.05,7.9,8.03,7.736994,342000
11-01-2011,8.05,8.05,7.84,7.95,7.659913,529900
12-01-2011,8,8,7.84,7.85,7.563561,204500
13-01-2011,7.82,7.87,7.53,7.78,7.496117,528500
14-01-2011,7.81,7.97,7.77,7.95,7.659913,302100
18-01-2011,7.9,7.98,7.49,7.5,7.226333,753500
19-01-2011,7.51,7.59,7.31,7.51,7.235969,667100
20-01-2011,7.44,7.59,7.41,7.5,7.226333,276300
21-01-2011,7.56,7.58,7.39,7.42,7.149252,396200
24-01-2011,7.45,7.6,7.41,7.51,7.235969,322400
25-01-2011,7.48,7.6,7.37,7.58,7.303413,324100
26-01-2011,7.6,7.83,7.49,7.76,7.476846,366200
27-01-2011,7.78,7.78,7.63,7.73,7.44794,229900
28-01-2011,7.7,7.7,7.45,7.5,7.226333,486900
31-01-2011,7.49,7.55,7.33,7.39,7.120347,508100
01-02-2011,7.45,7.73,7.42,7.63,7.351589,447100
