Date,Open,High,Low,Close,Adj Close,Volume
01-10-2010,62.09,62.25,61.57,61.75,45.970119,9773200
04-10-2010,61.540001,61.98,61.299999,61.669998,45.910553,8703600
05-10-2010,62.080002,62.939999,62.009998,62.799999,46.751797,12439400
06-10-2010,62.889999,63.259998,62.5,63.209999,47.057022,11339800
07-10-2010,63.290001,63.5,63,63.220001,47.06448,9826600
08-10-2010,63.380001,63.389999,63.029999,63.23,47.071911,7354800
11-10-2010,63.259998,63.310001,63.040001,63.299999,47.124023,6172100
12-10-2010,63.130001,63.439999,62.970001,63.290001,47.116585,8707400
13-10-2010,63.43,63.790001,63.290001,63.580002,47.332462,10104700
14-10-2010,63.790001,63.799999,63.389999,63.740002,47.451584,8632700
15-10-2010,63.98,64,63.139999,63.57,47.325027,13265100
18-10-2010,63.689999,63.98,63.25,63.860001,47.54092,10814100
19-10-2010,62.889999,63.669998,62.5,63.290001,47.116585,17235400
20-10-2010,63.32,64.029999,63.060001,63.599998,47.347347,10206800
21-10-2010,63.860001,64.220001,63.52,63.990002,47.637699,11111700
22-10-2010,64.080002,64.120003,63.639999,63.810001,47.503696,6774800
25-10-2010,64.040001,64.230003,63.849998,63.98,47.630257,7794700
26-10-2010,63.849998,63.950001,63.610001,63.84,47.526031,7122900
27-10-2010,63.580002,63.689999,63.279999,63.57,47.325027,11916100
28-10-2010,63.939999,64.110001,63.509998,63.560001,47.317581,10116000
29-10-2010,63.639999,63.84,63.32,63.740002,47.451584,9309900
01-11-2010,63.880001,64.089996,63.310001,63.689999,47.41436,9356000
02-11-2010,63.939999,64.199997,63.720001,63.880001,47.555817,8632100
03-11-2010,63.990002,64.199997,63.549999,64.190002,47.786587,9322100
04-11-2010,64.32,64.919998,64.239998,64.760002,48.210922,11337400
05-11-2010,64.75,64.839996,64.099998,64.650002,48.12904,9276500
08-11-2010,64.559998,64.610001,64.099998,64.330002,47.890816,8484400
09-11-2010,64.470001,64.5,64.099998,64.309998,47.875923,9218500
10-11-2010,64.239998,64.339996,63.549999,63.950001,47.607922,10795400
11-11-2010,63.700001,63.950001,63.580002,63.919998,47.585583,9109500
12-11-2010,63.689999,64.089996,63.509998,63.669998,47.399475,12944800
15-11-2010,64.110001,64.690002,63.98,64.139999,47.749355,12729400
16-11-2010,63.650002,63.950001,62.650002,63.139999,47.004902,15651000
17-11-2010,63.130001,63.290001,62.919998,63.060001,46.945351,7416900
18-11-2010,63.470001,64,63.299999,63.830002,47.518585,9400100
19-11-2010,63.889999,64.220001,63.650002,63.830002,47.518585,12889800
22-11-2010,63.5,63.82,63.09,63.619999,47.362244,11179200
23-11-2010,62.990002,63.25,62.650002,62.869999,46.803905,14766500
24-11-2010,63.029999,63.490002,62.93,63.290001,47.116585,9591400
26-11-2010,62.5,62.57,62.139999,62.299999,46.778683,4638800
29-11-2010,61.810001,62.009998,61.389999,61.91,46.48584,12019300
30-11-2010,61.48,61.82,61.25,61.549999,46.215542,12633500
01-12-2010,62.18,62.48,61.82,62.419998,46.868786,15364700
02-12-2010,62.389999,62.880001,62.27,62.599998,47.003937,10160400
03-12-2010,62.509998,62.77,62.23,62.560001,46.973911,9882800
06-12-2010,62.310001,62.48,62.200001,62.200001,46.703602,8989000
07-12-2010,62.560001,62.740002,62.25,62.310001,46.78619,9528800
08-12-2010,62.220001,62.560001,62.139999,62.450001,46.891312,7871900
09-12-2010,62.43,62.959999,61.75,62.060001,46.598484,12965600
10-12-2010,62.189999,62.330002,61.689999,61.91,46.48584,11457300
13-12-2010,61.830002,61.970001,61.560001,61.860001,46.448318,13672100
14-12-2010,62.029999,62.939999,61.889999,62.77,47.131599,13491200
15-12-2010,62.93,63.16,62.439999,62.57,46.98143,11534100
16-12-2010,62.75,62.790001,62.040001,62.400002,46.853783,11141100
17-12-2010,62.25,62.540001,61.98,62.540001,46.9589,15961000
20-12-2010,62.540001,62.650002,62.23,62.490002,46.921352,8907000
21-12-2010,62.790001,62.799999,62.279999,62.34,46.808727,7908200
22-12-2010,62.330002,62.400002,61.919998,62.02,46.568462,8850100
23-12-2010,62.02,62.459999,62.02,62.25,46.741142,7229500
27-12-2010,62.189999,62.240002,61.82,61.93,46.500881,5163700
28-12-2010,62.060001,62.299999,61.900002,62.049999,46.590965,6354200
29-12-2010,62.119999,62.439999,62.110001,62.130001,46.651043,4968700
30-12-2010,62.099998,62.189999,61.900002,61.939999,46.508381,5770100
31-12-2010,61.900002,62.09,61.75,61.849998,46.440807,4981400
03-01-2011,62.630001,63.18,62.529999,62.82,47.16914,14894800
04-01-2011,63.130001,63.349998,62.75,63.349998,47.567089,12346300
05-01-2011,63.41,63.540001,62.950001,63.310001,47.537064,11837900
06-01-2011,63.43,63.529999,62.900002,63.209999,47.461979,7606000
07-01-2011,63.200001,63.25,62.560001,62.599998,47.003937,11084800
10-01-2011,62.290001,62.400002,62,62.16,46.673573,9775000
11-01-2011,62.220001,62.349998,62,62.27,46.756157,7372800
12-01-2011,62.450001,62.880001,62.32,62.5,46.92886,8312700
13-01-2011,62.560001,62.98,62.349998,62.91,47.236729,9489700
14-01-2011,62.950001,62.970001,62.25,62.549999,46.966412,11274700
18-01-2011,62.220001,62.59,62.009998,62.099998,46.628525,13944900
19-01-2011,62.049999,62.610001,62.009998,62.560001,46.973911,9596700
20-01-2011,62.73,63.099998,62.540001,62.860001,47.199165,11518600
21-01-2011,63.25,63.25,62.459999,62.66,47.049015,12932200
24-01-2011,62.560001,62.720001,62.16,62.220001,46.71862,11373000
25-01-2011,60.889999,61.630001,60.709999,61.080002,45.86264,28056700
26-01-2011,61.18,61.25,60.599998,60.599998,45.502224,20262100
27-01-2011,60.639999,61.040001,60.599998,60.68,45.562286,11219500
28-01-2011,60.91,61,60,60.009998,45.059219,15298800
31-01-2011,60.16,60.220001,59.689999,59.77,44.879005,19056200
01-02-2011,59.700001,60.740002,59.700001,60.630001,45.524757,14780500
02-02-2011,60.459999,60.759998,60.279999,60.619999,45.517246,9994200
03-02-2011,60.66,60.970001,60.59,60.799999,45.652386,10078900
04-02-2011,60.939999,60.990002,60.650002,60.84,45.682426,9725500
07-02-2011,60.880001,60.990002,60.650002,60.869999,45.70496,8217000
08-02-2011,60.939999,60.990002,60.75,60.939999,45.757515,7867600
09-02-2011,60.93,60.939999,60.639999,60.880001,45.712467,8541500
10-02-2011,60.639999,61.07,60.419998,60.93,45.750011,8627500
11-02-2011,60.740002,61.169998,60.509998,60.700001,45.577316,9630800
14-02-2011,60.689999,60.98,60.650002,60.700001,45.577316,8130800
15-02-2011,60.599998,60.700001,60.48,60.619999,45.517246,8572800
16-02-2011,60.610001,60.740002,60.5,60.52,45.44215,9426400
17-02-2011,60.369999,60.93,60.330002,60.790001,45.644897,7133700
18-02-2011,60.889999,61.220001,60.549999,61.110001,45.885162,12393000
22-02-2011,60.68,60.990002,60.450001,60.650002,45.539764,11050500
23-02-2011,60.759998,61.080002,60.369999,60.389999,45.344547,12100300
24-02-2011,60.470001,60.5,60.029999,60.25,45.239418,11766700
25-02-2011,59.919998,59.950001,59.360001,59.639999,45.18639,11863700
28-02-2011,59.93,61.450001,59.77,61.439999,46.550159,20031000
01-03-2011,61.25,61.5,60.599998,60.700001,45.989491,14035300
02-03-2011,60.5,60.93,60.360001,60.810001,46.072838,10264600
03-03-2011,61.119999,61.200001,60.810001,61.049999,46.254681,7802700
04-03-2011,61.290001,61.290001,60.34,61.060001,46.26226,11432700
07-03-2011,61.09,61.099998,60.299999,60.400002,45.762203,9584000
08-03-2011,60.48,60.990002,60.34,60.709999,45.997082,8881800
09-03-2011,60.740002,61.060001,60.32,60.400002,45.762203,10082600
10-03-2011,60.139999,60.299999,59.400002,59.610001,45.163666,14852300
11-03-2011,59.240002,59.869999,59.110001,59.689999,45.22427,10426600
14-03-2011,59.490002,59.490002,58.919998,59.130001,44.79998,11775000
